url	type	value
ac-grenoble.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-grenoble.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-guyane.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-guyane.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-guyane.fr	twitter	https://platform.twitter.com/widgets.js
ac-lille.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-lille.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-martinique.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-martinique.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-martinique.fr	twitter	http://platform.twitter.com/widgets.js
ac-martinique.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-28708404-1
ac-martinique.fr	google analytics	https://www.google-analytics.com/analytics.js
ac-nancy-metz.fr	twitter	http://platform.twitter.com/widgets.js
ac-nantes.fr	xiti	https://logs2.xiti.com/hit.xiti?s=319535&s2=1&p=accueil&hl=23x18x30&di=1&lng=en-US&r=1920x1200x24x24&re=800x600&ref=
ac-nice.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-nice.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-nice.fr	twitter	https://platform.twitter.com/widgets.js
ac-normandie.fr	facebook	https://connect.facebook.net/fr_FR/sdk.js
ac-normandie.fr	twitter	https://platform.twitter.com/widgets.js
ac-normandie.fr	instagram	https://www.instagram.com/embed.js
ac-orleans-tours.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.6/cookieconsent.min.css
ac-orleans-tours.fr	google analytics	https://www.google-analytics.com/analytics.js
ac-orleans-tours.fr	twitter	https://platform.twitter.com/widgets.js
ac-orleans-tours.fr	youtube	https://www.youtube.com/embed/T3bXNkZbYG0?autohide=1&controls=2&enablejsapi=1&origin=https%3A%2F%2Fwww.ac-orleans-tours.fr&showinfo=0
ac-orleans-tours.fr	google fonts	https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2
ac-paris.fr	twitter	https://platform.twitter.com/widgets.js
ac-poitiers.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-poitiers.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-reims.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-reims.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-rennes.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-rennes.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-rennes.fr	twitter	http://platform.twitter.com/widgets.js
ac-rouen.fr	facebook	https://connect.facebook.net/fr_FR/sdk.js
ac-rouen.fr	twitter	https://platform.twitter.com/widgets.js
ac-rouen.fr	instagram	https://www.instagram.com/embed.js
ac-spm.fr	google fonts	https://fonts.googleapis.com/css?family=Ubuntu|Ubuntu&display=swap
ac-strasbourg.fr	twitter	http://platform.twitter.com/widgets.js
ac-strasbourg.fr	xiti	https://logs2.xiti.com/hit.xiti?s=319523&ts=1601587125745&idclient=73b9cd70-a518-4ec4-89a8-33c12f8fd12e&vtag=5.11.0&ptag=js&r=1920x1200x24x24&re=800x600&hl=23x18x45&lng=en-US&idp=2318459154740&p=Acad%C3%A9mie%20de%20Strasbourg&s2=5&vrn=1&ref=
ac-toulouse.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-toulouse.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-toulouse.fr	twitter	http://platform.twitter.com/widgets.js
ac-versailles.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-versailles.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
accessibilite.gouv.fr	xiti	https://logs177.xiti.com/hit.xiti?s=578816&ts=1601587130801&vtag=5.6.1&ptag=js&r=1920x1200x24x24&re=800x600&hl=23x18x50&lng=en-US&idp=2318506698526&jv=0&p=politiques_publiques::accessibilite::accessibilite&s2=4&mc=&np=1&x1=2&x2=fr&x3=0&ptype=0-0-0&ref=
accueil-etrangers.gouv.fr	google maps	http://maps.googleapis.com/maps/api/js?v=3.exp&sensor=false
accueil-etrangers.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=477737&s2=201&p=accueil_etrangers&hl=23x18x51&vrn=1&amp;ac=&amp;an=&lng=en-US&vtag=41002-31011&idp=2318512128644&jv=0&r=1920x1200x24x24&re=800x600&ref=
accueil-integration-refugies.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,400,300,600,700,800&subset=latin,latin-ext&display=swap
accueil-integration-refugies.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-126336982-1
accueil-integration-refugies.fr	google analytics	https://www.google-analytics.com/analytics.js
acnusa.fr	google analytics	https://ssl.google-analytics.com/ga.js
acoss.fr	google analytics	https://ssl.google-analytics.com/ga.js
acoss.fr	google	https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-6990139-7&cid=1634825482.1601587135&jid=1214806489&_v=5.7.2&z=154638619
adico.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-27254639-1
adico.fr	google fonts	https://fonts.googleapis.com/css?family=Montserrat%3A400%2C700%7CRoboto%3A100%2C300%2C400%2C700%7CNobile%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CLato%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=swap
adico.fr	jQuery	https://code.jquery.com/jquery-3.4.1.min.js
adico.fr	google analytics	https://www.google-analytics.com/analytics.js
adico.fr	hotjar	https://static.hotjar.com/c/hotjar-1158801.js?sv=5
adico.fr	twitter	https://pbs.twimg.com/media/EjOz_qAX0AAvtpU.jpg
administration-centrale.safire.fonction-publique.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
adnormandie.fr	FontAwesome	https://use.fontawesome.com/releases/v5.6.3/css/all.css
adnormandie.fr	google fonts	https://fonts.googleapis.com/css?family=Lato:400,100,300,700,900
adnormandie.fr	google	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/themes/smoothness/jquery-ui.css?ver=1.0
adnormandie.fr	google maps	https://maps.googleapis.com/maps/api/js?v=3.exp&key=AIzaSyBfa3A9JjKiei1M-ThzZQWIpgzMEk7qD0o&ver=1.0
adresse.data.gouv.fr	polyfill.io	https://cdn.polyfill.io/v2/polyfill.min.js?features=Array.prototype.includes,modernizr:es6string,modernizr:es6array,Promise,fetch
aefe-proche-orient.net	google fonts	https://fonts.googleapis.com/css?family=Source+Sans+Pro:regular&subset=latin
aefe-proche-orient.net	google analytics	https://www.google-analytics.com/analytics.js
afbiodiversite.fr	jsdelivr	https://cdn.jsdelivr.net/npm/bootstrap@3.4.1/dist/css/bootstrap.min.css
afbiodiversite.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,500,500i,700,700i
afbiodiversite.fr	bootstrapcdn	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css
afbiodiversite.fr	google analytics	https://www.google-analytics.com/analytics.js
afbiodiversite.fr	youtube	https://www.youtube.com/embed/XeQw6q0MZiQ
afbiodiversite.fr	google	https://www.google.com/ads/ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j86&tid=UA-89704533-1&cid=679716219.1601587150&jid=622995506&_u=YEBAAEAAAAAAAC~&z=343717065
affairesjuridiques.aphp.fr	bootstrapcdn	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css?ver=4.3.0
affairesjuridiques.aphp.fr	google analytics	http://www.google-analytics.com/analytics.js
aft.gouv.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-28315037-1
aft.gouv.fr	xiti	https://logs1187.xiti.com/hit.xiti?s=591759&s2=1&p=accueil&vrn=1&ac=&at=&lng=en-US&idp=2319094612438&jv=0&re=800x600&vtag=4.7.0&hl=23x19x9&r=1920x1200x24x24&rn=1601587149873&ref=
aft.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
agd.data.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans%3A400%2C&display=fallback&ver=2.5.5
agencedusport.fr	google analytics	https://ssl.google-analytics.com/ga.js
ageps.aphp.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js?ver=1.11.1
ageps.aphp.fr	jQuery	http://code.jquery.com/jquery-migrate-1.2.1.min.js?ver=1.2.1
ageps.aphp.fr	google maps	https://maps.googleapis.com/maps/api/js?v=3.exp&libraries=places&key=AIzaSyCCC5t16x0hQQYb-TxGJtSIj2g2QsvRNzA&ver=4.9.4
ageps.aphp.fr	google fonts	http://fonts.googleapis.com/css?family=Oleo+Script%3Aregular%2C700&ver=4.9.4
ageps.aphp.fr	google analytics	http://www.google-analytics.com/ga.js
ageps.aphp.fr	twitter	http://platform.twitter.com/widgets.js?_=1601587153183
agglo-chaumont.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-142787909-1
agglo-chaumont.fr	google fonts	https://fonts.googleapis.com/css?Montserrat:300,400,400i,500,600,700,800&display=swap
agglo-chaumont.fr	google analytics	https://www.google-analytics.com/analytics.js
agglo-chaumont.fr	bootstrapcdn	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0
agglo-niort.fr	google	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js
agglo-niort.fr	twitter	https://pbs.twimg.com/media/EjOt2zsXYAAV3Us.jpg
agglo-niort.fr	youtube	https://www.youtube-nocookie.com/embed/IrC65Ko0p7s?autohide=1&controls=2&enablejsapi=1&origin=http%3A%2F%2Fwww.niortagglo.fr&showinfo=0
agglo-niort.fr	google fonts	https://fonts.gstatic.com/s/poppins/v13/pxiEyp8kv8JHgFVrJJfecnFHGPc.woff2
agglo-niort.fr	FontAwesome	https://use.fontawesome.com/releases/v4.7.0/fonts/fontawesome-webfont.woff2
agglo-valdefensch.fr	FontAwesome	https://use.fontawesome.com/releases/v5.5.0/css/all.css
agglo-valdefensch.fr	google fonts	https://fonts.googleapis.com/css?family=Montserrat%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&ver=3dae66081e65f102e1c6e518bbb075e5
agglo-valdefensch.fr	google	https://www.google.com/recaptcha/api.js?render=6LfyZKMUAAAAAGpkb8b1sm7mf5190plieBHpiIk1&ver=3.0
agglo-valdefensch.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=%27UA-134632874-2%27
agglo-valdefensch.fr	google analytics	https://www.google-analytics.com/analytics.js
agglo-valdefensch.fr	bootstrapcdn	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css
agglo.morlaix.fr	google analytics	https://www.google-analytics.com/analytics.js
agriculture.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Oxygen:400,300,700
agriculture.gouv.fr	FontAwesome	https://use.fontawesome.com/releases/v5.8.1/css/brands.css
aides-entreprises.data.gouv.fr	FontAwesome	https://use.fontawesome.com/releases/v5.0.13/css/all.css
aides-entreprises.data.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900&display=swap
aides-entreprises.data.gouv.fr	jsdelivr	https://cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css
aides-entreprises.data.gouv.fr	github	https://raw.githubusercontent.com/etalab/dashboard-aides-entreprises/master/backend/json//taxonomies/nafs-minify.json
aides-territoires.beta.gouv.fr	hotjar	https://static.hotjar.com/c/hotjar-1189567.js?sv=6
aife.economie.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
ain.gouv.fr	xiti	http://logp4.xiti.com/hit.xiti?s=491123&s2=1&p=Accueil&hl=23x19x29&vrn=1&lng=en-US&vtag=43001&idp=2319291103625&jv=0&r=1920x1200x24x24&re=800x600&ref=
aisne.gouv.fr	xiti	https://logp4.xiti.com/hit.xiti?s=491124&s2=1&p=Accueil&hl=23x19x25&vrn=1&ac=&an=&lng=en-US&vtag=42008&idp=2319253765227&jv=0&r=1920x1200x24x24&re=800x600&ref=
allier.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=477532&s2=1&p=Accueil&hl=23x19x31&vrn=1&lng=en-US&vtag=43001&idp=2319316513483&jv=0&r=1920x1200x24x24&re=800x600&ref=
allo119.gouv.fr	google	https://www.google.com/recaptcha/api.js?hl=fr
allo119.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
alpes-maritimes.gouv.fr	xiti	https://logi241.xiti.com/hit.xiti?s=482013&s2=1&p=Accueil&vrn=1&ac=&an=&lng=en-US&idp=2319314540803&jv=0&re=800x600&vtag=4.5.3&hl=23x19x31&r=1920x1200x24x24&ref=
alpi40.fr	google	https://www.google.com/recaptcha/api.js
alpi40.fr	FontAwesome	https://use.fontawesome.com/010db549e2.js
alpi40.fr	youtube	https://www.youtube.com/embed/8fWOkCR77yY
alpi40.fr	google maps	https://maps.googleapis.com/maps/api/js?client=google-maps-embed&paint_origin=&libraries=geometry,search&v=3.exp&language=en_US&region=fr&callback=onApiLoad
alpi40.fr	google analytics	https://googleads.g.doubleclick.net/pagead/id
alpi40.fr	google fonts	https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2
alsace.cci.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:300,700&subset=greek-ext
alsace.cci.fr	google	https://ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js
alsace.cci.fr	google tag manager	https://www.googletagmanager.com/gtm.js?id=GTM-5GZKV58
alsace.cci.fr	google analytics	https://www.google-analytics.com/analytics.js
alsace.cci.fr	facebook	https://connect.facebook.net/en_US/fbevents.js
ambroisepare.aphp.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js?ver=1.11.1
ambroisepare.aphp.fr	jQuery	http://code.jquery.com/jquery-migrate-1.2.1.min.js?ver=1.2.1
ambroisepare.aphp.fr	google maps	https://maps.googleapis.com/maps/api/js?v=3.exp&libraries=places&key=AIzaSyCCC5t16x0hQQYb-TxGJtSIj2g2QsvRNzA&ver=4.9.4
ambroisepare.aphp.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:400italic,600italic,300,400,600,700,800&subset=latin,latin-ext,cyrillic,cyrillic-ext
ambroisepare.aphp.fr	google analytics	http://www.google-analytics.com/ga.js
ambroisepare.aphp.fr	youtube	https://www.youtube.com/embed/cXyXCCqoY_s
ambroisepare.aphp.fr	twitter	http://platform.twitter.com/widgets.js?_=1601587176418
ami-dd.aphp.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js?ver=1.11.1
ami-dd.aphp.fr	jQuery	http://code.jquery.com/jquery-migrate-1.2.1.min.js?ver=1.2.1
ami-dd.aphp.fr	google maps	https://maps.googleapis.com/maps/api/js?v=3.exp&libraries=places&key=AIzaSyCCC5t16x0hQQYb-TxGJtSIj2g2QsvRNzA&ver=4.9.4
ami-dd.aphp.fr	google analytics	http://www.google-analytics.com/ga.js
ami-dd.aphp.fr	youtube	https://www.youtube.com/embed/zqiEMk7Dpbo
ami-dd.aphp.fr	google fonts	https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2
amrf.fr	bootstrapcdn	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css?ver=1.0.5
amrf.fr	google fonts	https://fonts.googleapis.com/css?family=Libre+Franklin%3A300%2C300i%2C400%2C400i%2C600%2C600i%2C800%2C800i&subset=latin%2Clatin-ext
amrf.fr	google	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js?ver=3.0.22
amrf.fr	twitter	https://platform.twitter.com/widgets.js
amrf.fr	facebook	https://connect.facebook.net/fr_FR/sdk.js
amue.fr	FontAwesome	https://use.fontawesome.com/releases/v5.6.3/css/all.css
amue.fr	google fonts	https://fonts.googleapis.com/css2?family=Montserrat:wght@600&display=swap
amue.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css
amue.fr	google	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js
amue.fr	google analytics	http://www.google-analytics.com/analytics.js
anc.gouv.fr	xiti	http://logc409.xiti.com/hit.xiti?s=603824&p=accueil&hl=23x19x43&r=1920x1200x24x24&ref=
anct.gouv.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-168936997-1
anct.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Lato:400,400i,700,700i,900,900i&display=swap
anct.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
angersloiremetropole.fr	FontAwesome	https://use.fontawesome.com/releases/v5.0.8/css/all.css
angersloiremetropole.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js
angersloiremetropole.fr	google analytics	http://www.google-analytics.com/analytics.js
anomaliescervelet.aphp.fr	google analytics	http://www.google-analytics.com/ga.js
anomaliescervelet.aphp.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js?ver=1.11.1
anomaliescervelet.aphp.fr	jQuery	http://code.jquery.com/jquery-migrate-1.2.1.min.js?ver=1.2.1
anomaliescervelet.aphp.fr	google fonts	http://fonts.googleapis.com/css?family=Montserrat%3Aregular%2C700&ver=4.9.4
anomaliescervelet.aphp.fr	google maps	http://maps.googleapis.com/maps/api/js?key=AIzaSyCCC5t16x0hQQYb-TxGJtSIj2g2QsvRNzA&sensor=false&ver=1.2.1
anses.fr	xiti	https://logs1407.xiti.com/hit.xiti?s=565296&ts=1601587188015&vtag=5.2.3&ptag=js&r=1920x1200x24x24&re=800x600&hl=23x19x48&lng=en-US&idp=2319476306583&jv=0&p=accueil&s2=1&vrn=1&ref=
ants.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:400,600,700
ants.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
apgl64.fr	google fonts	https://fonts.googleapis.com/css?family=Source%20Sans%20Pro:300,400,700
apgl64.fr	google analytics	https://www.google-analytics.com/analytics.js
aphp-international.fr	google fonts	https://fonts.googleapis.com/css?family=Barlow+Semi+Condensed:500%7CMartel+Sans:700%7CRoboto:400
aphp.aphp.fr	google maps	https://maps.googleapis.com/maps/api/js?v=3.exp&libraries=places&key=AIzaSyCCC5t16x0hQQYb-TxGJtSIj2g2QsvRNzA&ver=4.9.4
aphp.aphp.fr	google analytics	http://www.google-analytics.com/ga.js
aphp.aphp.fr	google	https://apis.google.com/js/plusone.js
aphp.aphp.fr	twitter	http://platform.twitter.com/widgets.js
aphp.aphp.fr	facebook	http://connect.facebook.net/fr_FR/all.js
aphp.fr	google maps	https://maps.googleapis.com/maps/api/js?key=AIzaSyA7AECgctSx-fIsJlt5zUB7qZUG3kXGIB0
aphp.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:300,400,400i,600,600i,700,800
aphp.fr	google	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2
aphp.fr	youtube	https://i.ytimg.com/vi/9_6M3Gsf6-k/mqdefault.jpg
aphp.fr	google tag manager	https://www.googletagmanager.com/gtm.js?id=GTM-TB3NHBB
aphp.fr	google analytics	https://www.google-analytics.com/analytics.js
apiagent.gouv.fr	google fonts	http://fonts.googleapis.com/css?family=Open+Sans:300,400,600&subset=latin,latin-ext,cyrillic,cyrillic-ext,greek,greek-ext,vietnamese
app.dvf.etalab.gouv.fr	FontAwesome	https://use.fontawesome.com/releases/v5.8.1/css/all.css
app.dvf.etalab.gouv.fr	bootstrapcdn	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css
app.dvf.etalab.gouv.fr	polyfill.io	https://polyfill.io/v3/polyfill.min.js?features=default%2Ces2015%2Ces2016%2Ces2017%2Cfetch%2CPromise
app.dvf.etalab.gouv.fr	jQuery	https://code.jquery.com/jquery-3.3.1.min.js
app.dvf.etalab.gouv.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/vue/2.3.4/vue.min.js
app.dvf.etalab.gouv.fr	jsdelivr	https://cdn.jsdelivr.net/npm/@turf/turf@5/turf.min.js
apvf.asso.fr	addThis	https://s7.addthis.com/js/300/addthis_widget.js
apvf.asso.fr	google analytics	https://stats.g.doubleclick.net/dc.js
aquitaine.culture.gouv.fr	google analytics	http://www.google-analytics.com/ga.js
arcep.fr	google fonts	https://fonts.googleapis.com/css?family=Open+Sans:300,400,400i,600,700
archives.entreprises.gouv.fr	google	https://www.google.com/jsapi
archives.entreprises.gouv.fr	google analytics	https://www.google-analytics.com/analytics.js
archives.internet.gouv.fr	xiti	http://logp4.xiti.com/hit.xiti?s=43487&s2=243&p=&hl=23x20x4&vrn=1&lng=en-US&vtag=34001&idp=2320045328105&jv=0&r=1920x1200x24x24&re=800x600&ref=
ardeche.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=482012&s2=1&p=Accueil&hl=23x20x11&vrn=1&lng=en-US&vtag=43001&idp=2320113836469&jv=0&r=1920x1200x24x24&re=800x600&ref=
ardennes.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=482011&s2=1&p=Accueil&hl=23x20x12&vrn=1&lng=en-US&vtag=43001&idp=232012706532&jv=0&r=1920x1200x24x24&re=800x600&ref=
aria.ecologie.gouv.fr	google	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js
aria.ecologie.gouv.fr	google analytics	http://www.google-analytics.com/ga.js
ariege.gouv.fr	xiti	https://logp4.xiti.com/hit.xiti?s=491174&s2=1&p=Accueil&hl=23x20x13&vrn=1&ac=&an=&lng=en-US&vtag=42008&idp=2320133911857&jv=0&r=1920x1200x24x24&re=800x600&ref=
ars.sante.fr	jsdelivr	https://cdn.jsdelivr.net/bootstrap/3.3.7/css/bootstrap.min.css
ars.sante.fr	xiti	https://logs1407.xiti.com/hit.xiti?s=566576&s2=1&p=Accueil&vrn=1&ac=&an=&lng=en-US&idp=2320149591430&jv=0&re=800x600&vtag=4.7.0-3.3.2&hl=23x20x14&r=1920x1200x24x24&rn=1601587214437&ref=
asap.dsna.aviation-civile.gouv.fr	bootstrapcdn	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css
asap.dsna.aviation-civile.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Lora:400,700,400italic,700italic
asn.fr	google	https://www.google.com/recaptcha/api.js
asn.fr	xiti	https://logs4.xiti.com/hit.xiti?s=211903&ts=1601587214955&vtag=5.5.0&ptag=js&r=1920x1200x24x24&re=800x600&hl=23x20x14&lng=en-US&idp=2320149303391&p=Autorit%C3%A9%20de%20s%C3%BBret%C3%A9%20nucl%C3%A9aire%20&s2=&vrn=1&ref=
asn.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-15117053-1
asn.fr	twitter	https://platform.twitter.com/widgets.js
asn.fr	google analytics	https://www.google-analytics.com/analytics.js
asp-public.fr	bootstrapcdn	https://netdna.bootstrapcdn.com/bootstrap/3.0.2/css/bootstrap.min.css
associations.gouv.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto:400,300,500,400italic,300italic,500italic,700,700italic,900,900italic,100italic,100
associations.gouv.fr	xiti	https://logs4.xiti.com/hit.xiti?s=191503&ts=1601587220608&vtag=5.4.0&ptag=js&r=1920x1200x24x24&re=800x600&hl=23x20x20&lng=en-US&idp=2320202068836&jv=0&p=accueil&s2=5&ref=
atd24.fr	google analytics	http://www.google-analytics.com/ga.js
atd31.fr	bootstrapcdn	https://netdna.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.css
